x1,name,age,photo,nationality,flag,overall,potential,club,club_logo,value,wage,special,acceleration,aggression,agility,balance,ball_control,composure,crossing,curve,dribbling,finishing,free_kick_accuracy,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,heading_accuracy,interceptions,jumping,long_passing,long_shots,marking,penalties,positioning,reactions,short_passing,shot_power,sliding_tackle,sprint_speed,stamina,standing_tackle,strength,vision,volleys,cam,cb,cdm,cf,cm,id,lam,lb,lcb,lcm,ldm,lf,lm,ls,lw,lwb,preferred_positions,ram,rb,rcb,rcm,rdm,rf,rm,rs,rw,rwb,st
195,Quaresma,33,https://cdn.sofifa.org/48/18/players/20775.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,83,Beşiktaş JK,https://cdn.sofifa.org/24/18/teams/327.png,€15.5M,€67K,1962,85,62,91,84,87,79,88,92,89,70,78,12,14,10,5,15,41,24,63,75,83,10,74,75,78,79,83,13,82,69,17,54,80,80,81,37,52,80,74,20775,81,50,37,74,52,80,81,74,82,57,LM RM,81,50,37,74,52,80,81,74,82,57,74
209,André Gomes,23,https://cdn.sofifa.org/48/18/players/211575.png,Portugal,https://cdn.sofifa.org/flags/38.png,82,88,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€30M,€150K,2087,71,81,67,64,80,78,61,82,81,68,68,12,9,6,14,8,69,76,58,83,73,65,55,77,79,84,80,64,66,78,77,85,83,63,79,74,78,77,80,211575,79,72,74,80,78,77,76,75,75,73,CAM LW CM,79,72,74,80,78,77,76,75,75,73,75
239,Pizzi,27,https://cdn.sofifa.org/48/18/players/197965.png,Portugal,https://cdn.sofifa.org/flags/38.png,82,82,SL Benfica,https://cdn.sofifa.org/24/18/teams/234.png,€23M,€19K,2165,83,68,87,84,82,85,77,83,82,77,76,15,14,9,9,15,45,68,67,81,78,62,76,85,82,82,74,52,76,90,64,59,86,77,82,64,74,81,81,197965,82,71,64,81,74,81,82,75,81,74,RM CM,82,71,64,81,74,81,82,75,81,74,75
288,João Moutinho,30,https://cdn.sofifa.org/48/18/players/162347.png,Portugal,https://cdn.sofifa.org/flags/38.png,82,82,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€20.5M,€48K,2192,73,74,79,84,82,86,77,82,81,74,79,13,15,15,13,13,70,72,79,82,80,68,70,73,75,84,76,68,65,84,72,64,80,76,79,71,76,77,80,162347,79,74,71,80,76,77,78,75,78,75,CAM CDM CM,79,74,71,80,76,77,78,75,78,75,75
300,Nélson Semedo,23,https://cdn.sofifa.org/48/18/players/227928.png,Portugal,https://cdn.sofifa.org/flags/38.png,81,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€20.5M,€125K,2037,91,77,88,83,78,75,75,61,80,50,30,16,12,10,14,12,58,80,80,65,60,76,38,73,82,74,74,78,92,90,77,59,62,42,73,74,76,73,73,227928,73,80,74,73,76,73,76,69,75,80,RB,73,80,74,73,76,73,76,69,75,80,69
301,Gelson Martins,22,https://cdn.sofifa.org/48/18/players/227055.png,Portugal,https://cdn.sofifa.org/flags/38.png,81,88,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€25M,€20K,2007,95,57,94,94,83,84,79,84,85,66,60,12,9,7,6,9,51,43,65,56,74,43,66,77,82,75,72,36,94,87,46,48,78,74,79,52,60,79,73,227055,79,64,52,73,60,79,80,73,81,68,LM RM,79,64,52,73,60,79,80,73,81,68,73
311,Bruma,22,https://cdn.sofifa.org/48/18/players/211368.png,Portugal,https://cdn.sofifa.org/flags/38.png,81,86,RB Leipzig,https://cdn.sofifa.org/24/18/teams/112172.png,€24M,€63K,1982,94,64,93,90,83,73,76,75,86,70,69,11,13,8,12,8,52,38,78,70,67,21,71,75,79,74,81,28,92,79,39,57,69,60,78,48,57,78,72,211368,78,58,48,72,57,78,80,74,80,62,RM LM,78,58,48,72,57,78,80,74,80,62,74
315,R. Guerreiro,23,https://cdn.sofifa.org/48/18/players/209889.png,Portugal,https://cdn.sofifa.org/flags/38.png,81,86,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€24M,€58K,2171,83,69,88,86,83,75,85,84,83,72,82,12,6,8,11,8,61,85,64,74,83,74,44,76,81,83,81,77,72,77,70,54,79,76,80,72,77,79,80,209889,80,78,72,80,77,79,80,75,81,80,CM LB LWB LM,80,78,72,80,77,79,80,75,81,80,75
404,Ricardo Pereira,23,https://cdn.sofifa.org/48/18/players/210243.png,Portugal,https://cdn.sofifa.org/flags/38.png,80,86,FC Porto,https://cdn.sofifa.org/24/18/teams/236.png,€17M,€15K,2120,89,75,84,78,78,81,80,76,83,60,42,16,12,15,11,11,64,79,76,78,62,78,53,78,80,80,67,75,88,82,80,62,75,53,78,75,78,76,78,210243,78,79,75,78,78,76,80,72,78,80,RM LB RB,78,79,75,78,78,76,80,72,78,80,72
452,Daniel Carriço,28,https://cdn.sofifa.org/48/18/players/189156.png,Portugal,https://cdn.sofifa.org/flags/38.png,80,81,Sevilla FC,https://cdn.sofifa.org/24/18/teams/481.png,€13.5M,€23K,1936,54,88,59,68,69,81,61,39,58,48,54,14,10,15,15,12,79,82,91,79,50,76,62,57,75,78,66,80,59,70,82,77,62,47,64,79,77,62,70,189156,64,74,79,70,77,62,64,63,61,72,CDM CB,64,74,79,70,77,62,64,63,61,72,63
500,Manuel Fernandes,31,https://cdn.sofifa.org/48/18/players/157960.png,Portugal,https://cdn.sofifa.org/flags/38.png,80,80,Lokomotiv Moscow,https://cdn.sofifa.org/24/18/teams/100765.png,€13M,€54K,2145,83,68,82,76,83,77,79,79,84,71,70,14,14,9,16,8,59,68,74,80,82,62,75,70,72,79,83,68,76,73,69,71,79,69,79,68,73,78,77,157960,79,72,68,77,73,78,78,74,79,74,CM CAM,79,72,68,77,73,78,78,74,79,74,74
547,João Cancelo,23,https://cdn.sofifa.org/48/18/players/210514.png,Portugal,https://cdn.sofifa.org/flags/38.png,79,86,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€15M,€31K,2116,93,69,78,74,79,69,80,81,82,59,69,6,9,15,14,14,64,69,73,73,66,74,46,80,78,78,80,76,91,81,78,66,66,55,76,73,75,77,75,210514,76,78,73,75,75,77,79,74,78,79,RM RW RB,76,78,73,75,75,77,79,74,78,79,74
581,Cédric,25,https://cdn.sofifa.org/48/18/players/201118.png,Portugal,https://cdn.sofifa.org/flags/38.png,79,82,Southampton,https://cdn.sofifa.org/24/18/teams/17.png,€13M,€82K,2118,84,75,76,83,76,69,81,66,76,57,64,11,14,12,12,11,65,76,73,69,78,76,60,71,76,75,80,79,80,88,78,63,65,68,73,74,75,73,74,201118,73,78,74,74,75,73,75,71,74,79,RB,73,78,74,74,75,73,75,71,74,79,71
639,Antunes,30,https://cdn.sofifa.org/48/18/players/178424.png,Portugal,https://cdn.sofifa.org/flags/38.png,79,79,Getafe CF,https://cdn.sofifa.org/24/18/teams/1860.png,€9M,€29K,2139,78,75,78,76,77,70,81,82,74,56,80,10,7,10,9,14,57,80,63,76,84,74,61,70,75,73,87,81,82,86,79,69,66,69,73,74,76,73,75,178424,73,78,74,75,76,73,75,71,74,79,LB,73,78,74,75,76,73,75,71,74,79,71
656,José Fonte,33,https://cdn.sofifa.org/48/18/players/171791.png,Portugal,https://cdn.sofifa.org/flags/38.png,79,79,West Ham United,https://cdn.sofifa.org/24/18/teams/19.png,€5M,€99K,1630,44,84,58-2,54,62,69,36,33,58,40,32,7,11,16,10,6,76,81,73,56,29,78,43,40,78,62,29,77,43,66,79,80,55,34,55,77,71,53,60,171791,55,67,77,60,71,53,54,52,52,65,CB,55,67,77,60,71,53,54,52,52,65,52
695,André Silva,21,https://cdn.sofifa.org/48/18/players/228941.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,86,Milan,https://cdn.sofifa.org/24/18/teams/47.png,€15.5M,€77K,1962,75,76,77,72,78,70,59,69,77,75,33,14,13,7,11,8,77,55,84,58,66,34,80,83,79,67,76,35,85,85,40,74,66,74,73,57,60,76,69,228941,73,60,57,69,60,76,74,77,74,62,ST,73,60,57,69,60,76,74,77,74,62,77
718,Rúben Semedo,23,https://cdn.sofifa.org/48/18/players/216778.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,85,Villarreal CF,https://cdn.sofifa.org/24/18/teams/483.png,€12.5M,€27K,1806,68,87,66,51,63,69,38,22,64,43,26,10,14,13,7,15,75,81,85,60,58,76,38,48,73,65,72,76,75,77,78,83,48,51,60,77,72,60,63,216778,60,71,77,63,72,60,60,62,59,69,CB,60,71,77,63,72,60,60,62,59,69,62
719,Rafa,24,https://cdn.sofifa.org/48/18/players/216547.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,83,SL Benfica,https://cdn.sofifa.org/24/18/teams/234.png,€14M,€13K,1846,91,40,91,85,80,77,73,75,83,65,56,9,11,11,12,8,46,43,58,60,64,23,59,78,79,74,71,31,92,64,38,37,75,64,77,44,54,77,70,216547,77,57,44,70,54,77,77,71,78,61,ST RM LM,77,57,44,70,54,77,77,71,78,61,71
729,Hernâni,25,https://cdn.sofifa.org/48/18/players/212911.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,79,FC Porto,https://cdn.sofifa.org/24/18/teams/236.png,€12.5M,€15K,1816,92,42,86,69,79,78,75,75,81,68,59,8,11,7,8,6,55,21,62,65,67,14,68,79,79,73,70,23,91,73,19,59,64,68,75,39,49,76,67,212911,75,52,39,67,49,76,77,73,78,56,LM RM,75,52,39,67,49,76,77,73,78,56,73
730,Iuri Medeiros,22,https://cdn.sofifa.org/48/18/players/212230.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,85,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€14.5M,€16K,1943,84,67,88,92,79,79,79,88,82,73,82,7,8,7,9,12,45,30,61,72,79,21,79,72,73,78,77,26,75,76,31,41,77,73,78,42,55,76,72,212230,78,54,42,72,55,76,77,71,78,59,LM RM,78,54,42,72,55,76,77,71,78,59,71
731,Bruno Fernandes,22,https://cdn.sofifa.org/48/18/players/212198.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,85,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€14.5M,€16K,2115,79,62,82,79,81,80,76,81,79,65,76,12,14,15,8,14,58,68,72,77,79+3,58,66,75,75,78,83+3,62,78,76,66,69,74,78,77,66,71,76,76,212198,77,71,66,76,71,76,77,74,77,72,CM CF CAM,77,71,66,76,71,76,77,74,77,72,74
733,Pedro Santos,29,https://cdn.sofifa.org/48/18/players/211119.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,Columbus Crew SC,https://cdn.sofifa.org/24/18/teams/687.png,€10M,€11K,1916,88,39,85,81,79,75,76,80,80,73,76,14,8,12,12,7,62,34,72,64,74,23,65,77,76,73,76,26,87,79,28,52,74,64,77,44,53,77,70,211119,77,55,44,70,53,77,77,74,78,59,LM RM,77,55,44,70,53,77,77,74,78,59,74
735,Paulo Oliveira,26,https://cdn.sofifa.org/48/18/players/210679.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,82,SD Eibar,https://cdn.sofifa.org/24/18/teams/467.png,€11M,€22K,1685,67,71,54,53,65,67,36,33,60,25,29,14,8,11,12,7,77,79,87,49,29,78,45,30,76,69,61,76,68,75,81,83,41,36,54,77,71,54,59,210679,54,71,77,59,71,54,56,54,53,69,CB,54,71,77,59,71,54,56,54,53,69,54
779,Marafona,30,https://cdn.sofifa.org/48/18/players/200798.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,SC Braga,https://cdn.sofifa.org/24/18/teams/1896.png,€6.5M,€11K,1198,36,41,49,35,13,41,13,19,22,18,17,80,73,66,77,81,13,21,53,38,16,12,23,13,73,32,38,13,37,29,12,60,56,19,NA,NA,NA,NA,NA,200798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
784,André André,27,https://cdn.sofifa.org/48/18/players/199626.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,FC Porto,https://cdn.sofifa.org/24/18/teams/236.png,€10.5M,€16K,2079,73,77,74,74,80,80,65,78,79,69,61,9,11,15,9,7,64,77,70,78,71,62,84,77,76,80,75,65,69,75,75,61,75,64,77,70,75,76,77,199626,77,72,70,77,75,76,75,73,75,73,CM,77,72,70,77,75,76,75,73,75,73,73
812,Bruno Alves,35,https://cdn.sofifa.org/48/18/players/138110.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,Rangers,https://cdn.sofifa.org/24/18/teams/86.png,€2.4M,€38K,2070,60,90,68,63,70,82,67,77,68,62,80,15,13,16,9,15,79,69,93,75,78,78,75,52,70,68,83,70,52,69,77,91,58,60,65,77,73,65,68,138110,65,69,77,68,73,65,65,68,65,69,CB,65,69,77,68,73,65,65,68,65,69,68
851,Miguel Lopes,30,https://cdn.sofifa.org/48/18/players/188840.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,Akhisar Belediyespor,https://cdn.sofifa.org/24/18/teams/111340.png,€7.5M,€20K,1989,77,79,68,67,78,70,82,70,72,40,55,15,12,7,13,13,65,77,71,70,45,71,50,65,72,75,70,75,77,90,76,75,62,55,68,74,75,67,71,188840,68,77,74,71,75,67,72,65,69,77,RB,68,77,74,71,75,67,72,65,69,77,65
855,Pedro Santos,29,https://cdn.sofifa.org/48/18/players/211119.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,Columbus Crew SC,https://cdn.sofifa.org/24/18/teams/687.png,€10M,€11K,1916,88,39,85,81,79,75,76,80,80,73,76,14,8,12,12,7,62,34,72,64,74,23,65,77,76,73,76,26,87,79,28,52,74,64,77,44,53,77,70,211119,77,55,44,70,53,77,77,74,78,59,LM RM,77,55,44,70,53,77,77,74,78,59,74
856,Hernâni,25,https://cdn.sofifa.org/48/18/players/212911.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,79,FC Porto,https://cdn.sofifa.org/24/18/teams/236.png,€12.5M,€15K,1816,92,42,86,69,79,78,75,75,81,68,59,8,11,7,8,6,55,21,62,65,67,14,68,79,79,73,70,23,91,73,19,59,64,68,75,39,49,76,67,212911,75,52,39,67,49,76,77,73,78,56,LM RM,75,52,39,67,49,76,77,73,78,56,73
870,Eliseu,33,https://cdn.sofifa.org/48/18/players/2492.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,SL Benfica,https://cdn.sofifa.org/24/18/teams/234.png,€4M,€13K,2143,75,86,75,75,75,75,79,66,73,59,69,12,15,15,15,15,72,75,73,67,88,74,64,70,74,74,89,80,77,79,78,79,59,67,71,77,75,72,72,2492,71,77,77,72,75,72,72,73,73,76,LB,71,77,77,72,75,72,72,73,73,76,73
875,André André,27,https://cdn.sofifa.org/48/18/players/199626.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,78,FC Porto,https://cdn.sofifa.org/24/18/teams/236.png,€10.5M,€16K,2079,73,77,74,74,80,80,65,78,79,69,61,9,11,15,9,7,64,77,70,78,71,62,84,77,76,80,75,65,69,75,75,61,75,64,77,70,75,76,77,199626,77,72,70,77,75,76,75,73,75,73,CM,77,72,70,77,75,76,75,73,75,73,73
876,Rúben Semedo,23,https://cdn.sofifa.org/48/18/players/216778.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,85,Villarreal CF,https://cdn.sofifa.org/24/18/teams/483.png,€12.5M,€27K,1806,68,87,66,51,63,69,38,22,64,43,26,10,14,13,7,15,75,81,85,60,58,76,38,48,73,65,72,76,75,77,78,83,48,51,60,77,72,60,63,216778,60,71,77,63,72,60,60,62,59,69,CB,60,71,77,63,72,60,60,62,59,69,62
902,Rafa,24,https://cdn.sofifa.org/48/18/players/216547.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,83,SL Benfica,https://cdn.sofifa.org/24/18/teams/234.png,€14M,€13K,1846,91,40,91,85,80,77,73,75,83,65,56,9,11,11,12,8,46,43,58,60,64,23,59,78,79,74,71,31,92,64,38,37,75,64,77,44,54,77,70,216547,77,57,44,70,54,77,77,71,78,61,ST RM LM,77,57,44,70,54,77,77,71,78,61,71
904,Bruno Fernandes,22,https://cdn.sofifa.org/48/18/players/212198.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,85,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€14.5M,€16K,2115,79,62,82,79,81,80,76,81,79,65,76,12,14,15,8,14,58,68,72,77,79+3,58,66,75,75,78,83+3,62,78,76,66,69,74,78,77,66,71,76,76,212198,77,71,66,76,71,76,77,74,77,72,CM CF CAM,77,71,66,76,71,76,77,74,77,72,74
920,Paulo Oliveira,26,https://cdn.sofifa.org/48/18/players/210679.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,82,SD Eibar,https://cdn.sofifa.org/24/18/teams/467.png,€11M,€22K,1685,67,71,54,53,65,67,36,33,60,25,29,14,8,11,12,7,77,79,87,49,29,78,45,30,76,69,61,76,68,75,81,83,41,36,54,77,71,54,59,210679,54,71,77,59,71,54,56,54,53,69,CB,54,71,77,59,71,54,56,54,53,69,54
966,Rúben Neves,20,https://cdn.sofifa.org/48/18/players/224293.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,86,Wolverhampton Wanderers,https://cdn.sofifa.org/24/18/teams/110.png,€12M,€39K,2047,65,70,68,67,76,72,72,76,73,62,70,16,12,10,8,10,61,75,74,80,74,70,59,63,75,82,78,69,66,74,76,70,78,68,74,72,76,72,76,224293,74,72,72,76,76,72,73,69,71,73,CM CDM,74,72,72,76,76,72,73,69,71,73,69
982,Luís Neto,29,https://cdn.sofifa.org/48/18/players/204341.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,77,Fenerbahçe SK,https://cdn.sofifa.org/24/18/teams/326.png,€7M,€59K,1748,57,76,69,61,48,72,42,52,49,33,43,10,15,13,15,8,82,81,79,77,37,80,47,44,78,72,42,80,59,72,77,64,46,40,54,76,72,52,62,204341,54,70,76,62,72,52,55,52,51,68,CB,54,70,76,62,72,52,55,52,51,68,52
1004,Mário Rui,26,https://cdn.sofifa.org/48/18/players/204614.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,78,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€8.5M,€56K,2028,88,73,88,89,73,73,77,63,71,27,60,13,5,9,8,14,60,73,92,71,73,72,60,59,75,73,69,75,84,92,75,54,60,53,68,71,73,66,71,204614,68,76,71,71,73,66,71,61,69,77,LB,68,76,71,71,73,66,71,61,69,77,61
1005,André Pinto,27,https://cdn.sofifa.org/48/18/players/193862.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,78,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€8.5M,€17K,1638,50,79,37,34,61,72,44,35,44,34,50,15,13,6,11,11,78,77,34,58,54,77,46,33,70,66,68,82,50,67,80,91,47,36,52,76,71,51,59,193862,52,69,76,59,71,51,52,54,49,66,CB,52,69,76,59,71,51,52,54,49,66,54
1051,Bruno Varela,22,https://cdn.sofifa.org/48/18/players/219754.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,83,SL Benfica,https://cdn.sofifa.org/24/18/teams/234.png,€9M,€9K,1143,37,23,37,43,22,25,20,20,19,16,13,77,72-1,65,77,80,16,17,51,16,18,14,24,14,73+1,26,19,20,41,44,12,73,32,12,NA,NA,NA,NA,NA,219754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,Bruno Gaspar,24,https://cdn.sofifa.org/48/18/players/225402.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,82,Fiorentina,https://cdn.sofifa.org/24/18/teams/110374.png,€10M,€48K,2027,82,73,84,74,75,74,73,74,78,57,35,9,10,7,8,10,64,71,80,67,64,72,48,75,80,72,68,76,85,85,74,67,67,63,73,72,73,73,73,225402,73,76,72,73,73,73,75,70,74,76,RB,73,76,72,73,73,73,75,70,74,76,70
1088,Luisinho,32,https://cdn.sofifa.org/48/18/players/180359.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,77,RC Deportivo de La Coruña,https://cdn.sofifa.org/24/18/teams/242.png,€4.9M,€24K,1936,72,82,73,77,77,68,80,67,77,49,59,8,8,13,8,12,66,77,44,68,53,74,51,66,76,78,59,79,68,71,78,57,64,45,70,73,75,69,72,180359,70,76,73,72,75,69,72,65,71,76,LM LB,70,76,73,72,75,69,72,65,71,76,65
1100,Vieirinha,31,https://cdn.sofifa.org/48/18/players/177553.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,77,PAOK Thessaloniki,https://cdn.sofifa.org/24/18/teams/393.png,€8M,€1K,2057,77,74,84,85,80,72,76,74,83,73,67,15,10,12,11,13,42,72,69,70,75,65,66,74,78,76,75,63,74,67,64,54,74,65,77,65,71,76,75,177553,77,70,65,75,71,76,76,71,77,72,RB RM,77,70,65,75,71,76,76,71,77,72,71
1128,Fábio Coentrão,29,https://cdn.sofifa.org/48/18/players/171688.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,77,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€6.5M,€125K,2051,77,82,67,76,72,77,77,78,81,65,51,7,13,16,15,14,71,80,77,69,64,72,54,65,68,75,69,82,73,68,77,64,69,63,71,75,74,71,72,171688,71,75,75,72,74,71,73,69,72,75,LM LB,71,75,75,72,74,71,73,69,72,75,69
1138,Ricardo Ferreira,24,https://cdn.sofifa.org/48/18/players/210862.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,81,SC Braga,https://cdn.sofifa.org/24/18/teams/1896.png,€10M,€12K,1586,54,76,51,49,64,75,29,32,41,26,32,16,15,8,12,6,77,77,66,53,22,79,43,51,76,65,46,75,56,65,80,77,33,34,50,76,69,50,56,210862,50,67,76,56,69,50,51,52,48,64,CB,50,67,76,56,69,50,51,52,48,64,52
1162,Diogo Jota,20,https://cdn.sofifa.org/48/18/players/224458.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,86,Wolverhampton Wanderers,https://cdn.sofifa.org/24/18/teams/110.png,€14M,€45K,1983,83,72,87,78,82,80,61,74,84,73,55,7,12,15,9,11,68,54,66,64,75,32,61,80,80,69,76,39,80,78,50,65,74,69,77,57,62,78,73,224458,77,61,57,73,62,78,76,76,77,63,ST LW,77,61,57,73,62,78,76,76,77,63,76
